Energy (keV),Compton Electrons Counts,Photoelectrons Counts
0.5,2,0
1.5,9,0
2.5,17,0
3.5,23,0
4.5,32,0
5.5,29,0
6.5,28,0
7.5,24,0
8.5,34,0
9.5,36,0
10.5,22,0
11.5,49,0
12.5,28,0
13.5,31,0
14.5,28,0
15.5,10,0
16.5,12,0
17.5,5,0
18.5,9,0
19.5,7,0
20.5,4,0
21.5,1,0
22.5,40,0
23.5,75,0
24.5,1,0
25.5,9,0
26.5,22,0
27.5,29,0
28.5,1,0
29.5,3,0
30.5,4,0
31.5,5,0
32.5,2,0
33.5,6,0
34.5,5,0
35.5,1,0
36.5,2,0
37.5,3,0
38.5,1,0
39.5,0,0
40.5,1,0
41.5,4,0
42.5,2,0
43.5,6,0
44.5,2,0
45.5,3,0
46.5,1,0
47.5,2,0
48.5,6,0
49.5,5,0
50.5,7,0
51.5,3,0
52.5,5,0
53.5,4,0
54.5,4,0
55.5,2,0
56.5,4,0
57.5,5,0
58.5,5,0
59.5,2,0
60.5,2,0
61.5,4,0
62.5,3,0
63.5,3,0
64.5,3,0
65.5,6,0
66.5,7,0
67.5,6,0
68.5,5,0
69.5,3,0
70.5,1,0
71.5,6,0
72.5,2,0
73.5,5,0
74.5,5,0
75.5,5,0
76.5,2,0
77.5,2,0
78.5,3,0
79.5,5,0
80.5,8,0
81.5,4,0
82.5,3,0
83.5,3,0
84.5,4,0
85.5,7,0
86.5,6,0
87.5,2,0
88.5,9,0
89.5,11,0
90.5,7,0
91.5,6,0
92.5,2,0
93.5,0,0
94.5,0,0
95.5,0,0
96.5,0,0
97.5,0,0
98.5,0,0
99.5,0,0
100.5,0,0
101.5,0,0
102.5,0,0
103.5,0,0
104.5,0,0
105.5,0,0
106.5,0,0
107.5,0,0
108.5,0,0
109.5,0,0
110.5,0,0
111.5,0,0
112.5,0,0
113.5,0,2
114.5,0,6
115.5,0,12
116.5,0,9
117.5,0,5
118.5,0,5
119.5,0,7
120.5,0,2
121.5,0,7
122.5,0,3
123.5,0,4
124.5,0,5
125.5,0,8
126.5,0,2
127.5,0,0
128.5,0,3
129.5,0,5
130.5,0,5
131.5,0,5
132.5,0,3
133.5,0,4
134.5,0,2
135.5,0,5
136.5,0,5
137.5,0,5
138.5,0,3
139.5,0,8
140.5,0,5
141.5,0,5
142.5,0,3
143.5,0,3
144.5,0,1
145.5,0,5
146.5,0,3
147.5,0,1
148.5,0,3
149.5,0,5
150.5,0,2
151.5,0,7
152.5,0,5
153.5,0,5
154.5,0,4
155.5,0,7
156.5,0,6
157.5,0,2
158.5,0,1
159.5,0,2
160.5,0,3
161.5,0,0
162.5,0,8
163.5,0,3
164.5,0,1
165.5,0,1
166.5,0,2
167.5,0,2
168.5,0,2
169.5,0,3
170.5,0,3
171.5,0,2
172.5,0,5
173.5,0,5
174.5,0,2
175.5,0,5
176.5,0,3
177.5,0,11
178.5,0,14
179.5,0,18
180.5,0,17
181.5,0,44
182.5,0,32
183.5,0,15
184.5,0,26
185.5,0,10
186.5,0,1
187.5,0,7
188.5,0,13
189.5,0,4
190.5,0,19
191.5,0,26
192.5,0,26
193.5,0,40
194.5,0,35
195.5,0,28
196.5,0,31
197.5,0,28
198.5,0,32
199.5,0,32
200.5,0,24
201.5,0,29
202.5,0,23
203.5,0,13
204.5,0,9
