Distance (mm),Radius Counts
0.0275,53
0.0825,528
0.1375,323
0.1925,223
0.2475,167
0.3025,100
0.35750000000000004,92
0.4125,63
0.4675,52
0.5225,35
0.5775,31
0.6325000000000001,26
0.6875,27
0.7424999999999999,17
0.7975,16
0.8525,15
0.9075,6
0.9625,9
1.0175,7
1.0725,1
1.1275,5
1.1825,1
1.2374999999999998,0
1.2925,0
1.3475000000000001,1
1.4024999999999999,0
1.4575,1
1.5125000000000002,1
1.5675,0
1.6225,0
1.6775,0
1.7325,1
1.7875,0
1.8425,0
1.8975,0
1.9525000000000001,0
2.0075000000000003,0
2.0625,0
