Phi_bin,Counts_Norm,Error
2.5,1.0816173717708724,0.060369994685331434
7.5,1.02096593036316,0.05865296019085096
12.5,1.0108573567952077,0.05836187670580269
17.5,1.031074503931112,0.05894260620023328
22.5,0.909771621115687,0.05536693767367834
27.5,1.041183077499064,0.059230835822247294
32.5,1.0277049794084612,0.058846215937535314
37.5,0.9839011606140022,0.05757846028293356
42.5,1.031074503931112,0.05894260620023328
47.5,0.9636840134780981,0.05698383029861096
52.5,1.0715087982029203,0.060087229689682914
57.5,1.0074878322725571,0.05826452571775187
62.5,1.0277049794084612,0.058846215937535314
67.5,1.0546611755896669,0.059612974210627924
72.5,0.9299887682515912,0.05597874561307576
77.5,0.987270685136653,0.05767696926904276
82.5,1.1490078622238862,0.06222226425068308
87.5,1.0142268813178585,0.058459065576966396
92.5,0.9737925870460502,0.057281916885061776
97.5,1.0007487832272557,0.058069334128239156
102.5,0.9569449644327968,0.056784236584490624
107.5,1.02096593036316,0.05865296019085096
112.5,0.9906402096593037,0.057775310294024794
117.5,0.9973792587046051,0.057971491878235595
122.5,0.9434668663421939,0.05638292953056294
127.5,1.1388992886559341,0.061947954622857404
132.5,0.9839011606140022,0.05757846028293356
137.5,0.9973792587046051,0.057971491878235595
142.5,0.899663047547735,0.055058484367395626
147.5,0.9704230625233995,0.05718272734417606
152.5,0.9030325720703857,0.055161493782742085
157.5,0.9502059153874953,0.05658393882954698
162.5,1.051291651067016,0.05951766963455682
167.5,1.0344440284537626,0.059038839090758924
172.5,0.8895544739797828,0.05474829325475376
177.5,0.9502059153874953,0.05658393882954698
182.5,0.899663047547735,0.055058484367395626
187.5,0.9771621115687009,0.057380934965682376
192.5,1.031074503931112,0.05894260620023328
197.5,0.9569449644327968,0.056784236584490624
202.5,0.8828154249344815,0.05454051909627399
207.5,0.8929239985024335,0.05485188519838913
212.5,1.0445526020217146,0.05932660118117974
217.5,1.0782478472482218,0.060275887075995835
222.5,1.0883564208161738,0.060557771172034015
227.5,0.9400973418195433,0.05628215567068911
232.5,0.9839011606140022,0.05757846028293356
237.5,1.051291651067016,0.05951766963455682
242.5,1.0175964058405091,0.05855609313846683
247.5,1.0445526020217146,0.05932660118117974
252.5,0.9839011606140022,0.05757846028293356
257.5,1.0175964058405091,0.05855609313846683
262.5,1.031074503931112,0.05894260620023328
267.5,0.9805316360913515,0.0574797824721407
272.5,1.0142268813178585,0.058459065576966396
277.5,0.9737925870460502,0.057281916885061776
282.5,1.0479221265443655,0.05942221220401931
287.5,0.9064020965930364,0.055264311194949664
292.5,0.9906402096593037,0.057775310294024794
297.5,1.0344440284537626,0.059038839090758924
302.5,1.031074503931112,0.05894260620023328
307.5,1.051291651067016,0.05951766963455682
312.5,0.9198801946836391,0.055673682057927644
317.5,0.9839011606140022,0.05757846028293356
322.5,1.074878322725571,0.060181632308283696
327.5,1.041183077499064,0.059230835822247294
332.5,1.0175964058405091,0.05855609313846683
337.5,0.9771621115687009,0.057380934965682376
342.5,0.9603144889554475,0.056884120982855564
347.5,1.0007487832272557,0.058069334128239156
352.5,1.0883564208161738,0.060557771172034015
357.5,0.987270685136653,0.05767696926904276
