Energy_keV,Area_cm2,det_Eff
1.61,666.74,1
2.41,601.34,1
3.21,614.65,1
4.02,626.22,1
4.82,632.64,1
5.62,637.38,1
6.42,640.98,1
7.23,643.87,1
8.03,646.35,1
8.83,648.14,1
9.64,649.53,1
10.44,650.7,1
11.24,649.69,1
12.05,601.96,1
12.85,590,1
13.65,567.09,1
14.45,551.82,1
15.26,558.27,1
16.06,562.23,1
16.86,564.81,1
17.67,567.42,1
18.47,570.01,0.999999999999979
19.27,571.47,0.999999999999317
20.08,573.34,0.999999999986091
20.88,574.63,0.99999999981497
21.68,575.81,0.999999998266113
22.48,576.84,0.999999987961428
23.29,577.48,0.999999932453528
24.09,578.06,0.999999704648599
24.89,578.25,0.999998902801012
25.7,578.23,0.999996448533709
26.5,578.01,0.999990127229058
27.3,577.24,0.999999999999997
28.11,576.5,0.99999999999997
28.91,574.72,0.99999999999973
29.71,572.75,0.999999999998023
30.52,571.84,0.999999999987554
31.32,567.78,0.999999999934985
32.12,562.03,1
32.92,553.25,1
33.73,538.03,1
34.53,514.07,0.999999999999999
35.33,486.83,0.999999999999992
36.14,459.34,0.999999999999948
36.94,432.64,0.999999999999713
37.74,407.11,0.999999999998596
38.55,382.86,0.999999999993846
39.35,359.92,0.999999999975889
40.15,338.26,0.999999999914463
40.95,330,0.999999999718329
41.76,330,0.99999999913908
42.56,330,0.999999997587615
43.36,330,0.999999993647199
44.17,330,0.999999984276902
44.97,330,0.999999962971946
45.77,330,0.999999918044548
46.58,330,0.999999827398437
47.38,330,0.999999649783744
48.18,330,0.999999323812208
48.98,330,0.9999987421668
49.79,330,0.999997745742709
50,3500,0.889371667208765
56.5,6800,0.906737510784493
63,10100,0.921524899368734
69.5,13400,0.93202503159532
76,16700,0.941030991181229
82.5,20000,0.94675793129598
89,19785,0.954579047625476
95.5,19570,0.960763214222778
102,19355,0.964528076726899
108.5,19140,0.966453059574058
115,18925,0.967425939465481
121.5,18710,0.967324110049234
128,18495,0.967822541466831
134.5,18280,0.968051532049946
141,18065,0.967875833866674
147.5,17850,0.967154479170168
154,17635,0.964877880700187
160.5,17420,0.963334795190654
167,17205,0.959711823686662
173.5,16990,0.955411646734305
180,16775,0.949311336885729
186.5,16560,0.942785469282322
193,16345,0.933963162308848
199.5,16130,0.92586787868465
206,15915,0.915038624826316
212.5,15700,0.904928703017807
219,15485,0.891115860824502
225.5,15270,0.878882247789654
232,15055,0.865353008914718
238.5,14840,0.851923477617725
245,14625,0.83612801214834
251.5,14410,0.822878232482683
258,14195,0.806831374688225
264.5,13980,0.79288662031656
271,13765,0.776848151041461
277.5,13550,0.763123248953581
284,13335,0.748444350966799
290.5,13120,0.735171384688827
297,12905,0.71993127993584
303.5,12690,0.707435366773363
310,12475,0.693391172713098
316.5,12260,0.680793362646439
323,12045,0.667309181395762
329.5,11830,0.654818691373383
336,11615,0.641557859231199
342.5,11400,0.631062080595936
349,11185,0.61866546913373
355.5,10970,0.608649160759003
362,10755,0.596274824246431
368.5,10540,0.586105129600409
375,10325,0.575977276651303
381.5,10110,0.567135217278009
388,9895,0.555943201139413
394.5,9680,0.547714812180403
401,9465,0.537815707117591
407.5,9250,0.530509091133287
414,9035,0.520226453922225
420.5,8820,0.512666036964923
427,8605,0.504638936828855
433.5,8390,0.496114475066592
440,8175,0.488600531502128
446.5,7960,0.482555717088915
453,7745,0.473142614048745
459.5,7530,0.46746604420561
466,7315,0.460763692252864
472.5,7100,0.454430764172581
479,6885,0.446479844601043
485.5,6670,0.441321448450584
492,6455,0.434502940577259
498.5,6240,0.429256623610076
505,6025,0.423392395456712
511.5,5810,0.418185345736926
518,5595,0.412434647948973
524.5,5380,0.407602146164628
531,5165,0.402559398478942
537.5,4950,0.398482856019182
544,4735,0.3937260111959
550.5,4520,0.387658170156057
557,4305,0.383912684920794
563.5,4090,0.379014371701431
570,3875,0.373788004286567
576.5,3660,0.371180036885295
583,3445,0.366748389996088
589.5,3230,0.361537185030358
596,3015,0.357651898749472
602.5,2800,0.354131847338874
609,2585,0.349929061200069
615.5,2370,0.346490580732481
622,2155,0.343241304237885
628.5,1940,0.339206959675105
635,1725,0.335721846242107
641.5,1510,0.3334334533312
648,1295,0.328518059531843
654.5,1080,0.326714160590667
661,865,0.322609103563293
667.5,650,0.319036694830426
674,435,0.315957465735585
680.5,220,0.313856302413461
687,100,0.310718482288287
693.5,40,0.30787717861962
